Category: All categories

Month,internet of things: (Worldwide),IoT: (Worldwide)
2004-01,1,4
2004-02,1,4
2004-03,1,4
2004-04,1,5
2004-05,1,4
2004-06,2,4
2004-07,1,4
2004-08,1,5
2004-09,3,4
2004-10,1,4
2004-11,1,4
2004-12,2,5
2005-01,2,4
2005-02,1,4
2005-03,1,5
2005-04,1,5
2005-05,2,5
2005-06,2,6
2005-07,1,5
2005-08,<1,3
2005-09,1,4
2005-10,2,4
2005-11,2,5
2005-12,1,4
2006-01,1,4
2006-02,1,6
2006-03,1,6
2006-04,1,4
2006-05,1,5
2006-06,1,6
2006-07,1,5
2006-08,1,4
2006-09,1,6
2006-10,1,4
2006-11,1,3
2006-12,1,4
2007-01,1,4
2007-02,1,4
2007-03,1,4
2007-04,1,5
2007-05,1,4
2007-06,1,4
2007-07,1,6
2007-08,1,4
2007-09,1,4
2007-10,1,4
2007-11,2,5
2007-12,1,3
2008-01,1,5
2008-02,1,5
2008-03,1,5
2008-04,1,5
2008-05,1,5
2008-06,1,5
2008-07,1,5
2008-08,1,5
2008-09,1,4
2008-10,1,5
2008-11,1,5
2008-12,1,5
2009-01,1,6
2009-02,2,5
2009-03,2,5
2009-04,1,4
2009-05,2,5
2009-06,1,5
2009-07,1,5
2009-08,1,5
2009-09,2,6
2009-10,2,5
2009-11,2,6
2009-12,2,5
2010-01,2,5
2010-02,2,6
2010-03,3,6
2010-04,3,6
2010-05,2,6
2010-06,3,6
2010-07,2,7
2010-08,2,6
2010-09,2,6
2010-10,2,6
2010-11,3,7
2010-12,2,5
2011-01,2,6
2011-02,2,6
2011-03,2,7
2011-04,2,6
2011-05,3,6
2011-06,2,6
2011-07,2,6
2011-08,2,6
2011-09,2,6
2011-10,2,6
2011-11,3,7
2011-12,3,6
2012-01,3,6
2012-02,3,7
2012-03,3,6
2012-04,3,6
2012-05,3,6
2012-06,3,7
2012-07,3,6
2012-08,3,6
2012-09,3,6
2012-10,3,7
2012-11,3,6
2012-12,3,6
2013-01,4,7
2013-02,4,6
2013-03,4,7
2013-04,4,7
2013-05,4,7
2013-06,4,7
2013-07,4,7
2013-08,4,6
2013-09,5,7
2013-10,7,8
2013-11,7,8
2013-12,6,8
2014-01,10,9
2014-02,10,10
2014-03,11,11
2014-04,12,13
2014-05,11,12
2014-06,11,15
2014-07,13,15
2014-08,13,15
2014-09,15,18
2014-10,16,21
2014-11,15,20
2014-12,13,19
2015-01,18,27
2015-02,19,29
2015-03,20,30
2015-04,19,35
2015-05,19,40
2015-06,19,41
2015-07,18,42
2015-08,18,45
2015-09,20,49
2015-10,20,53
2015-11,20,53
2015-12,18,51
2016-01,18,56
2016-02,20,63
2016-03,19,67
2016-04,19,69
2016-05,18,70
2016-06,16,69
2016-07,16,68
2016-08,16,68
2016-09,18,77
2016-10,23,83
2016-11,23,86
2016-12,17,73
2017-01,19,85
2017-02,19,88
2017-03,19,92
2017-04,18,86
2017-05,17,90
2017-06,16,87
2017-07,14,83
2017-08,14,83
2017-09,17,91
2017-10,18,94
2017-11,19,100
2017-12,16,91
2018-01,18,94
2018-02,16,95
2018-03,16,97
2018-04,15,95
2018-05,15,97
2018-06,13,90
2018-07,13,92
2018-08,14,95
2018-09,15,95
2018-10,16,99
2018-11,14,94
2018-12,12,82
2019-01,12,93
2019-02,14,99
2019-03,14,96
2019-04,13,98
2019-05,13,92
2019-06,13,91
2019-07,13,91
2019-08,12,91
2019-09,15,99
2019-10,14,94
2019-11,14,97
2019-12,12,85
2020-01,12,90
2020-02,14,98
2020-03,12,82
2020-04,12,77
2020-05,11,80
2020-06,11,86
2020-07,10,80
2020-08,11,77
2020-09,13,88
